Document ID,Document Title,File Name
DOC-001,Standard Bidding Document for the Procurement of Non-Consultancy Services Under Open or Restricted Bidding,DOC-001_Standard_Bidding_Document_for_the_Procurement_of_Non-Consultancy_Services_Under_Open_or_Restricted_Bidding.docx
DOC-002,Standard Bidding Document for the Procurement of Non-Consultancy Services Under Quotation Method,DOC-002_Standard_Bidding_Document_for_the_Procurement_of_Non-Consultancy_Services_Under_Quotation_Method.docx
DOC-003,User Guide for Standard Bidding Document for Non-Consultancy Services Under Request for Quotation Method,DOC-003_User_Guide_for_Standard_Bidding_Document_for_Non-Consultancy_Services_Under_Request_for_Quotation_Method.docx
DOC-004,User Guide for Standard Bidding Document for Non-Consultancy Services Under Open or Restricted Bidding,DOC-004_User_Guide_for_Standard_Bidding_Document_for_Non-Consultancy_Services_Under_Open_or_Restricted_Bidding.docx
DOC-005,Standard Bidding Document for Consultancy Services Under Quotation Method,DOC-005_Standard_Bidding_Document_for_Consultancy_Services_Under_Quotation_Method.docx
DOC-006,Standard Request for Proposals for Consultancy Services Under Open or Restricted Bidding,DOC-006_Standard_Request_for_Proposals_for_Consultancy_Services_Under_Open_or_Restricted_Bidding.docx
DOC-007,User Guide for RFP for Consultancy Services Under Open or Restricted Bidding,DOC-007_User_Guide_for_RFP_for_Consultancy_Services_Under_Open_or_Restricted_Bidding.docx
DOC-008,User Guide for Consultancy Services Under Quotation Method,DOC-008_User_Guide_for_Consultancy_Services_Under_Quotation_Method.docx
DOC-009,Standard Bidding Document for Supplies Under Open or Restricted Bidding,DOC-009_Standard_Bidding_Document_for_Supplies_Under_Open_or_Restricted_Bidding.docx
DOC-010,Standard Bidding Document for Supplies Under Quotation Method,DOC-010_Standard_Bidding_Document_for_Supplies_Under_Quotation_Method.docx
DOC-011,User Guide for Supplies Under Open or Restricted Bidding,DOC-011_User_Guide_for_Supplies_Under_Open_or_Restricted_Bidding.docx
DOC-012,User Guide for Supplies Under Quotation Method,DOC-012_User_Guide_for_Supplies_Under_Quotation_Method.docx
DOC-013,Standard Bidding Document for Works Under Quotation Method,DOC-013_Standard_Bidding_Document_for_Works_Under_Quotation_Method.docx
DOC-014,Standard Bidding Document for Works Under Open or Restricted Bidding,DOC-014_Standard_Bidding_Document_for_Works_Under_Open_or_Restricted_Bidding.docx
DOC-015,User Guide for Works Under Open or Restricted Bidding,DOC-015_User_Guide_for_Works_Under_Open_or_Restricted_Bidding.docx
DOC-016,User Guide for Works Under Quotation Method,DOC-016_User_Guide_for_Works_Under_Quotation_Method.docx
DOC-017,"Standard Bidding Document for Procurements Reserved for Registered Associations of Women, Youth and Persons with Disabilities","DOC-017_Standard_Bidding_Document_for_Procurements_Reserved_for_Registered_Associations_of_Women,_Youth_and_Persons_with_Disabilities.doc"
DOC-018,"Pre-Qualification of Providers for Works, Services or Supplies 2025","DOC-018_Pre-Qualification_of_Providers_for_Works,_Services_or_Supplies_2025.docx"
DOC-019,"User Guide for Pre-Qualification of Providers for Works, Services or Supplies","DOC-019_User_Guide_for_Pre-Qualification_of_Providers_for_Works,_Services_or_Supplies.docx"
DOC-020,Standard Bidding Document for Non-Consultancy Services using Framework Contract Arrangement,DOC-020_Standard_Bidding_Document_for_Non-Consultancy_Services_using_Framework_Contract_Arrangement.doc
DOC-021,Standard Bidding Document for Supplies Under Framework Contract Agreement,DOC-021_Standard_Bidding_Document_for_Supplies_Under_Framework_Contract_Agreement.doc
DOC-022,Standard Bidding Document for Works Under Framework Contract Agreement,DOC-022_Standard_Bidding_Document_for_Works_Under_Framework_Contract_Agreement.doc
DOC-023,Standard RFP for Consultancy Services using Framework Contract Arrangement,DOC-023_Standard_RFP_for_Consultancy_Services_using_Framework_Contract_Arrangement.doc
DOC-024,SBD for Management Services for Parks,DOC-024_SBD_for_Management_Services_for_Parks.docx
DOC-025,Guideline No. 3 of 2026 on Bid Performance and Advance Payment Securities,DOC-025_Guideline_No._3_of_2026_on_Bid_Performance_and_Advance_Payment_Securities.pdf
DOC-026,Guideline No. 2 of 2026 on Electronic Government Procurement (eGP),DOC-026_Guideline_No._2_of_2026_on_Electronic_Government_Procurement_(eGP).pdf
DOC-027,Guideline No. 1 of 2026 on Procurement of Aggregated Requirements,DOC-027_Guideline_No._1_of_2026_on_Procurement_of_Aggregated_Requirements.pdf
DOC-028,Guideline 10 of 2024 on Procurement and Disposal Records to be Kept by an Entity,DOC-028_Guideline_10_of_2024_on_Procurement_and_Disposal_Records_to_be_Kept_by_an_Entity.pdf
DOC-029,Guideline 9 of 2024 on Standard Notice Formats,DOC-029_Guideline_9_of_2024_on_Standard_Notice_Formats.pdf
DOC-030,"Rules and Methods for Procurement of Supplies, Works and Non-Consultancy Services Regulations, 2023","DOC-030_Rules_and_Methods_for_Procurement_of_Supplies,_Works_and_Non-Consultancy_Services_Regulations,_2023.pdf"
DOC-031,Synthetic Tender Submission A - Complete,DOC-031_Synthetic_Tender_Submission_A_-_Complete.docx
DOC-032,Synthetic Tender Submission B - Missing Items,DOC-032_Synthetic_Tender_Submission_B_-_Missing_Items.docx
DOC-033,Synthetic Tender Submission C - Alternative Wording,DOC-033_Synthetic_Tender_Submission_C_-_Alternative_Wording.docx
DOC-034,Synthetic Tender Submission D - Ambiguous Clauses,DOC-034_Synthetic_Tender_Submission_D_-_Ambiguous_Clauses.docx
DOC-035,Synthetic Tender Submission E - Distractors,DOC-035_Synthetic_Tender_Submission_E_-_Distractors.docx
